Kentucky,119.7,88.5,0.9699,32–2,32,34,53.4,41.6,40,25.6,17.2,18.1,38.4,31,65.9,52.5,38.8,37.1,32.1,21.4,8.1,48.4,48.6,27.3,30,66.1,78.81925025329281,81.4795,0.7758448310337933,2012,2.3,2.710526316,95.26728,,72,68.8,1.163,0.895,27.604632352941
Ohio St.,115.5,85.5,0.9695,27–7,27,34,52.5,46.3,37,28.6,17.4,22.5,35.7,24.9,66.7,53.8,45.3,32.6,32.2,8.8,6.1,54.3,47.2,26.1,35.5,68.1,77.65064620355409,80.09100000000001,1.2539015606242505,2012,1,1.6710526319999999,87.82123999999999,,69.8,68.9,1.121,0.886,31.750932352941
Kansas,114.7,88.1,0.9541,27–6,27,33,54,43.9,41.1,34.3,19.6,20.7,34.9,28.6,67.5,54.1,40,35.8,34.7,15.1,8.2,58.6,52.4,30.5,32.2,67.9,78.48247213779126,81.63299999999998,2.1781643671265747,2012,2.3,2.671052632,72.2548,,69.6,72.1,1.108,0.914,30.955812121212
Michigan St.,112.7,86.7,0.9533,27–7,27,34,52.7,43,39,34.2,19.8,19.7,37.2,27.5,65.3,51.9,42.6,36.5,29.2,12.7,7.3,59.1,52.2,27.8,35.6,66.1,76.88980602558811,80.0605,1.672334466893378,2012,-0.6,-1.2894736839999998,67.93476000000001,,69.8,70.5,1.101,0.903,34.348967647059
North Carolina,115.8,89.6,0.9503,29–5,29,34,50,45.1,38.1,22,16.2,18.5,40.5,27.7,72.8,49.6,43.5,34,31.9,13.8,6.9,58.1,46.4,22.9,35.9,72.7,79.4954413593038,82.601,1.3844462215113955,2012,0.6,-0.28947368399999984,91.13056,,68.2,67.3,1.126,0.919,27.922791176471
Missouri,124,96.6,0.9464,30–4,30,34,57.8,49.7,37.7,27.2,15.4,21.6,30.6,31.9,66.4,56.9,47.6,39.5,36.2,7.3,7.6,57.9,52.1,37.5,30.8,66.7,75.45948739148409,79.087,2.485902819436113,2012,-2.1,-2.328947368,56.3684,,76.6,67.6,1.205,0.986,26.072847058824
Syracuse,115.4,90.1,0.9451,31–2,31,33,51.9,44,31.8,29.8,16,25.2,36.6,39.3,65.7,52,42.9,34.5,30.6,19.8,7.1,57.4,62.7,31.3,36.1,66.2,78.60910199106054,81.46099999999998,1.6985999999999999,2012,0.6,-0.28947368399999984,80.12755999999999,,69.1,66.7,1.132,0.917,26.368421212121
Wisconsin,110.6,87.4,0.9375,24–9,24,33,49.7,41.8,31.1,29.9,15.1,18.5,30.4,28.1,59,46.6,41.3,36.1,28.9,9,7.6,52.7,41.2,40.4,24,58.8,76.6402551965425,79.84750000000001,1.8495398159263705,2012,0.1,0.4539473679999999,58.9102,,74.1,68.3,1.075,0.89,30.935909090909
Wichita St.,115.9,92.6,0.9296,26–5,26,31,54.2,44.7,35.2,33.4,17.9,18.7,33.5,26.3,66.7,53.5,43.5,37,31.4,10.5,7.8,53.1,49.9,33.1,32.4,66.8,77.19662690250925,80.666,2.4683063387322535,2012,-1.3,-1.157894736,13.827000000000004,,75.3,68.7,1.135,0.926,19.262541935484
Saint Louis,111,89.6,0.9215,24–7,24,31,52.1,44.9,35.1,37.4,17.8,23.4,31.9,29.4,63.1,50.2,43.8,36.9,32.1,8.3,10.7,57.7,44.2,36.3,25.6,62.4,76.03626622707604,79.726,1.7654592755653389,2012,0.2,0.388157895,30.22692,,71.5,72.8,1.091,0.906,20.496803225806
