Kansas,114.8,86.2,0.9643,27–3,27,30,53.7,43.7,35.8,23.2,18.7,18.6,32.6,26.4,67.6,54.9,42.4,34.1,30.5,13.7,9.7,51,52.6,32.5,41.3,68.1,78.1604938271605,81.13,1.5597119423884789,2020,0,0,81.62191999999999,,67.1,67.2,1.089,0.893,34.803923333333
Baylor,112.9,87.1,0.9518,26–4,26,30,49.4,45.2,30.8,30.8,17.8,22.7,35.8,29.8,66.6,47.5,44.4,35.1,31.1,12.5,12.9,54.1,52.6,36.9,35,67,76.8299456631113,79.946,1.8707741548309658,2020,0,0,53.547320000000006,,69,68.7,1.063,0.899,31.031313333333
Dayton,118.2,92,0.9469,29–2,29,31,59.7,46.6,33.9,30.9,18,18.8,26.4,26.6,68.1,62.3,45.1,37.1,33,9.2,7.9,60.2,47.2,39,33.2,68.3,76.77918885702582,79.863,2.0324064812962597,2020,0,0,30.730400000000003,,72,64.4,1.162,0.937,19.651364516129
Gonzaga,119.8,93.3,0.9466,31–2,31,33,57.5,47.6,38.8,21.8,15.3,18.4,33.6,22.7,72.6,57.4,47.4,38.6,32,9.5,6.9,52.5,43.4,31.3,34.1,72.8,78.77248459958932,81.8065,1.75750300120048,2020,0,0,66.40356,,68.8,69.7,1.2,0.932,20.881684848485
Duke,114.3,90.2,0.9384,25–6,25,31,52.6,45.7,35.6,30.9,17.8,20.2,34.8,28,72.8,52.5,46,35.2,29.9,13.6,9,52.1,46.8,31.5,26.7,72.5,78.22052223582212,80.91050000000001,1.049039231385108,2020,0,0,81.79244000000001,,72,67.1,1.114,0.918,25.710880645161
Michigan St.,113.7,90.2,0.9348,22–9,22,31,52.6,43.3,30.8,29.3,18.1,15.8,32.8,26,69.3,52.9,43.4,34.8,28.7,13.4,9.2,65,55.7,37.5,37.7,70.1,77.53781684382666,80.16200000000002,1.4042383046781293,2020,0,0,79.21499999999999,,75,70.3,1.095,0.934,34.444619354839
Ohio St.,113.3,90.9,0.9264,21–10,21,31,52.3,46.2,36.7,29.3,19.1,18.3,31.1,25.5,66.7,49.7,44.2,37.3,32.7,10.2,9.6,54.7,49.1,41.4,39.5,67,76.80888151068686,79.56349999999999,1.5016012810248203,2020,0,0,74.53812,,75.2,69.1,1.081,0.944,33.470387096774
Creighton,118.2,95.1,0.9242,23–7,23,30,55.2,48.4,28.8,23.4,15.9,17.6,23.9,30.2,69.8,53,48.9,38.7,31.8,6.6,9.4,56.1,51,42.7,38.4,69.1,76.51164254247954,78.317,1.5782530481710983,2020,0,0,58.874,,74.9,70,1.111,1.003,32.523656666667
San Diego St.,112.1,90.7,0.9195,29–2,29,31,54.6,45.2,28.3,30.6,16.2,21.3,28.2,25.4,66,53,45.3,37.9,30.1,8.8,5.8,54.8,54,42.2,42.4,65.5,76.72555923777962,80.02,2.1235730022030848,2020,0,0,22.156000000000002,,77.3,72.6,1.125,0.906,19.330064516129
Louisville,113.6,92,0.9187,24–7,24,31,52.5,45.1,32.2,29,18,17.4,32,25,67.2,50.1,45.1,37.6,30.1,7.9,9,53.5,47.2,38,41,67.7,77.00987045033928,80.53499999999998,2.1455126923845693,2020,0,0,69.44707999999999,,73.1,73,1.094,0.941,26.441864516129
West Virginia,106.2,86.7,0.9116,21–10,21,31,46.5,44.6,40.5,37.1,20.7,22.4,40.1,27.6,69.3,48,45.4,28.6,28.8,10.5,8.1,49.5,47.6,29.6,37.5,70.1,77.62733293196868,80.74899999999998,1.3696435722867437,2020,0,0,46.654520000000005,,64.2,71.5,1.01,0.897,32.057251612903
