Virginia,115.2,85,0.9706,31–2,31,33,52.9,43.7,24.8,26.2,14.1,21,27.4,25.7,60.5,50,42.4,39,30.3,12.5,7.5,54.9,47,34.8,40.5,60.4,77.50823431311237,80.1295,1.7201999999999997,2018,-3.1770000000000005,-3.289473684,71.07192,,75.8,73.2,1.112,0.879,30.430690909091
Villanova,127.7,95.4,0.9662,30–4,30,34,59.7,49.2,28.6,25.5,14.6,18.5,28.8,26.7,70.2,59.7,49.3,39.8,32.8,10.2,8.1,53.7,53.5,46.6,35.5,69.5,77.32940202772603,79.48849999999999,1.3128000000000002,2018,2.4669999999999996,2.710526316,80.59248,,77.1,75.3,1.227,0.999,32.486597058824
Duke,123.2,93.9,0.9578,26–7,26,33,56,46,34.9,22,17.7,16.9,39.1,29.2,71,55.6,44.8,37.8,32.1,13.2,6.7,57.3,55.7,35.5,36.7,71.4,79.09676759410802,82.429,0.6877375475095013,2018,-0.0940000000000003,0.6710526319999999,92.94319999999998,,70.8,73.9,1.188,0.976,31.36133030303
Purdue,123.6,94.4,0.9569,28–6,28,34,58.1,46.8,36.1,23.8,15.6,17.7,27.7,28.2,68.2,54.9,44.9,42,33.7,12.8,7,59.3,49,40.2,34.4,68.9,77.69465492525089,82.87049999999999,2.1057576969212324,2018,-0.10099999999999953,-0.32894736800000013,59.457719999999995,,74.3,67.9,1.186,0.959,30.490414705882
Cincinnati,111.1,86.5,0.9468,30–4,30,34,51.6,42.8,36.8,27.4,17.3,22.3,38.1,28.7,66.4,50.5,40.7,35.7,30.9,16.2,7.9,60.8,50.1,35.2,37.7,66.5,77.44482688803402,80.6595,1.7308538292341527,2018,-1.6230000000000002,-1.3289473680000001,63.962920000000004,,68.7,68.6,1.122,0.861,21.57585
Michigan St.,119.4,93.7,0.942,29–4,29,33,57.8,42.6,36.3,29.2,19.2,14.5,36.1,26.8,68.3,55.5,38.4,41.3,33.3,18.7,6.7,67.3,54.8,35.8,35.8,68.2,77.33239323126512,80.792,1.3226709316273495,2018,-1.104,-0.8486842109999999,84.49936,,75,72.4,1.182,0.945,27.211581818182
Kansas,121.7,95.7,0.9407,27–7,27,34,58.1,48.5,26.2,24.8,16.6,18.5,29.1,31.7,70.1,56.5,48.1,40.3,32.7,11,10.1,56.4,48.6,41.6,38.4,69.8,77.70390832821772,80.92099999999999,1.7826869252299078,2018,1.779,0.7105263160000002,80.43968000000001,,70.1,72,1.162,1.011,34.02445
North Carolina,121.2,96.8,0.9299,25–10,25,35,52.3,50.1,28.6,25.8,16.8,16.2,38.4,26,71.4,51.1,45,36.4,38.3,11.5,11.2,60.9,55.6,34.9,40.9,72.5,77.46163522012577,80.48200000000001,1.8435687137427474,2018,-1.2729999999999997,-1.3289473680000001,77.44668,,74.1,68.3,1.144,1.021,39.015597142857
West Virginia,119.1,95.3,0.9285,24–10,24,34,50.3,49.6,31.2,44.1,16.5,23.3,36.6,30,70.5,48.5,45.6,35.3,37.4,16,10.1,54.4,54.4,38.9,38,71.2,77.30368719611023,80.44950000000001,1.6686,2018,0.2619999999999998,0.842105264,38.54012,,76.6,70.4,1.125,0.975,33.146158823529
Xavier,121.4,97.3,0.9272,28–5,28,33,55.7,50,40.2,24.8,17,15.7,30,22.9,72.2,55.9,50,36.9,33.4,8,9.7,57.6,52.9,36,41.2,71.6,78.48291988613256,80.7755,1.8438312337532485,2018,-1.105,-2.289473684,76.27960000000002,,79,75,1.155,1.021,31.853124242424
Gonzaga,118.3,95.2,0.924,30–4,30,34,57.7,46.9,30.9,29.4,16,17.4,33,22.7,69.4,58.8,43.3,37.4,35.5,9.9,7.1,51,46.3,39.6,35.7,70.3,78.44626072742135,81.27200000000002,1.5100939436338208,2018,0.278,0.4539473679999999,73.62996,,72.2,71.8,1.199,0.952,19.117073529412
Ohio St.,116.1,93.6,0.9225,24–8,24,32,54.4,48.3,31.5,29,17.3,18,30.3,24.9,67.5,55.1,46,35.3,34.6,11.6,6.8,52.8,50.5,33.2,39.6,67.8,76.72588116817724,79.628,1.8148,2018,-0.6439999999999999,-0.15789473600000004,59.77551999999999,,72.6,70.3,1.111,0.977,29.9037875
Texas Tech,112.9,91.1,0.9218,24–9,24,33,52.7,46.7,40.3,38.1,18.1,22,33.3,28.4,68.3,51.5,45.1,36.6,32.8,12.3,9.9,51.8,46,34.1,38.9,67.6,77.62144783239992,79.51599999999999,1.7864718831298774,2018,1.038,1.151315789,36.70516,,70.1,69.6,1.093,0.94,31.896818181818
Tennessee,114.3,92.3,0.9212,25–8,25,33,50.7,46.8,36.5,38.3,18,20.6,33.6,31.5,67.3,47,46.1,38.4,31.9,12.8,8.9,62.7,48,35.6,36.3,67.3,76.81114551083591,79.896,1.3926429428228708,2018,-0.9830000000000001,-0.8486842109999999,47.88132,,75.6,71.2,1.094,0.979,32.934496969697
Michigan,114.3,92.5,0.9194,27–7,27,34,54.4,48.4,30.3,30.2,13.9,19.4,26,24.4,65.4,54.3,47,36.4,34.3,8.2,9.9,54.7,45.1,43.1,30.2,65.7,77.77120558636271,81.52649999999998,1.6262505002000816,2018,2.847,3.151315789,56.36804000000001,,65.7,71.3,1.114,0.961,32.026161764706
Florida,116,95.2,0.9066,20–12,20,32,51.1,48.9,33.1,31.7,14.3,20.1,28.8,30.8,68.2,47.5,46.6,37.5,35.7,12.3,8.3,49.2,46.5,40.2,33.6,68.3,76.88974307100953,80.09150000000001,1.8847999999999998,2018,-0.24599999999999955,-0.059210525999999986,69.4284,,72,73.7,1.102,1.006,31.853353125
