Ohio St.,123.2,90,0.9737,32–2,32,34,56,48.4,37.8,20.9,15.8,23.3,35.3,28.1,64.4,53.2,47.1,41.3,33.9,9.5,8.2,56.9,51,32.2,34.8,65.6,77.66305459006338,79.5845,1.5747149429885976,2011,-1.4,-1.2894736839999998,91.34792,,70.5,72.8,1.194,0.927,31.136532352941
Kansas,120,89.4,0.9672,32–2,32,34,57.7,44.7,40.6,32.8,19.1,20.3,36.5,28,70.2,57.5,44.9,38.7,29.4,10.8,7.2,60.4,49,32.6,33.6,69.7,77.87132725430598,81.06500000000001,1.9926000000000004,2011,0.3,-0.28947368399999984,76.47916,,68.1,72.9,1.169,0.926,26.503873529412
Duke,118.3,88.9,0.9639,30–4,30,34,53.6,43.8,37.4,30.2,17.3,21.3,35.4,33.5,70.6,52.1,42.6,37.5,31.6,9.7,7.7,51.3,49.8,35.6,24.2,70.2,77.94117647058825,81.818,1.6685337067413482,2011,-0.6,-1.2894736839999998,77.81512,,75,64.4,1.149,0.911,29.300047058824
Texas,113.7,87.7,0.9519,27–7,27,34,50.3,42,43.2,31.1,17.3,19,38.2,30.3,67.8,48.1,41.5,37.7,29,11.3,6.8,50.9,41.2,26,25.6,67,76.8271778402248,79.8925,1.4698000000000002,2011,-1,-0.5460526320000001,87.74548,,64.5,68.6,1.097,0.899,27.861605882353
Pittsburgh,119,92.5,0.9477,27–5,27,32,52.8,45.1,43.3,32.4,18.3,17.8,42.8,29.1,63.5,50.6,43.3,39,32.6,9.3,10.4,66.6,53.7,27.4,32.4,63.8,77.08971732896354,80.32700000000001,1.9998,2011,-1.6,-2.289473684,80.027,,67.2,67.1,1.162,0.957,29.6837125
Kentucky,118.4,92.2,0.9467,25–8,25,33,52.4,44,37.1,30.7,15.9,18.3,35.2,30.8,66.9,49,41.6,39.7,33.2,15.4,9.1,47.4,48.9,31.9,29.9,66.9,78.4329292929293,80.839,1.1471999999999998,2011,2.1,2.4539473679999997,86.89920000000001,,71.8,71.7,1.139,0.951,30.749912121212
Wisconsin,121.6,95.5,0.9415,23–8,23,31,52,48.3,28,31.4,12.8,16.8,34.2,27,57.1,49.5,45.1,37.1,37.5,9.1,6,55.1,46.3,40.5,28.7,57.9,77.66869492236675,80.64699999999999,1.9776089564174328,2011,0.4,0.4539473679999999,66.99399999999999,,82.4,75,1.185,1.014,34.801103225806
Notre Dame,121.8,96.2,0.9378,26–6,26,32,54.1,46.7,45.4,25.5,16.4,15.9,33.8,29.9,64.2,51.2,43.7,39.2,35,9.4,9.4,66.6,56.1,38.4,33,64.6,78.32290594772589,80.127,2.260252050410082,2011,-1.1,-1.3289473680000001,57.6238,,72.5,71.3,1.165,1.006,33.255825
Purdue,113.7,89.8,0.9378,25–7,25,32,50.8,45.8,35.1,31.4,15.6,21.7,32,30,66.1,48.7,44.5,36.7,32.8,10.5,8.6,61.6,54.7,33,27.4,67.1,76.27397260273973,79.791,1.7879575915183037,2011,-1.2,-0.8486842109999999,77.58772,,71.2,69.4,1.096,0.927,34.11923125
San Diego St.,112.3,89.9,0.9281,30–2,30,32,50.8,43.9,32.7,28.9,17.2,19.9,37.6,30,64.1,51.1,43.2,33.6,30.5,12.4,7.3,50.7,49.1,30.2,29.7,63.9,77.16401240951396,80.1605,2.0761847630473906,2011,-0.3,-0.32894736800000013,41.70124,,70,71.9,1.109,0.919,24.55535625
