Virginia,122.6,88.7,0.9764,29–3,29,32,55.7,43.5,30.3,27.9,14.7,17.8,30,25.9,61.1,52.2,45.5,40.9,27.2,12.3,8.4,56.6,43.9,38.7,40.9,61,77.20333333333332,81.011,1.5515103020604113,2019,2.584,2.710526316,73.38116,,74.6,65.1,1.171,0.898,33.4066375
Gonzaga,124.1,91.6,0.9705,30–3,30,33,59.6,44.2,36,25.1,14.5,18.9,30.6,27.1,71.6,62.3,43.1,36.5,30.9,13.3,4.9,55.9,41.1,35.3,34.6,71.9,78.21214659685866,80.47450000000002,1.8388710968775013,2019,-0.4339999999999997,-0.28947368399999984,55.473400000000005,,76.7,69.5,1.241,0.909,21.704712121212
Duke,119.3,88.3,0.9695,29–5,29,34,53.4,44.6,34.6,24,17.7,19.8,36.1,29.7,73.7,58.3,44.9,30.2,29.3,16.4,8,52.2,48.7,37.6,34.7,74,78.6560640262672,80.832,0.6866746698679476,2019,0.1779999999999995,-0.28947368399999984,88.93056,,69,69.1,1.129,0.913,37.364444117647
Michigan,115.3,86.2,0.9659,28–6,28,34,52.1,44.1,27,24.9,13.5,18.3,24.5,25.5,65.3,51.8,44.5,35,28.9,10.6,9.8,54.2,45.3,40.2,29.1,65.8,77.70816457045407,81.0745,1.4196517910746445,2019,-0.5369999999999999,-0.32894736800000013,80.43248,,69.8,65.6,1.078,0.897,32.905773529412
North Carolina,119.2,91.2,0.956,27–6,27,33,52.9,48.3,30.9,28.9,17.1,18.5,34.6,23.2,76.1,51.9,47.5,36.5,32.9,9.8,11.1,61.3,54.7,35.9,42.5,76.3,78.50156674326298,80.8135,1.7590000000000003,2019,-0.8370000000000002,-1.2894736839999998,76.65444,,74.2,68.3,1.126,0.955,36.973475757576
Michigan St.,120,92,0.955,28–6,28,34,55.8,43.7,35,27.7,18.7,14.9,34.1,26.8,68.4,54.8,41.3,38.4,31.8,14.1,8.3,68.2,53.1,37.8,37,69.2,77.54463921728497,79.8035,1.7680000000000002,2019,1.2580000000000005,1.6710526319999999,70.05668,,75,67.9,1.144,0.951,37.027058823529
Texas Tech,112.1,86.3,0.9529,26–6,26,32,53.7,42.8,33.5,37.6,18.2,23,28.6,28.6,67.7,52.9,41.3,36.8,30.1,15.3,6.9,51.3,48.7,35.5,39.7,67.6,76.92314136125657,79.20550000000001,1.8696435722867442,2019,2.271,3.151315789,47.19148,,72.8,69.2,1.075,0.872,29.681859375
Tennessee,122.9,95,0.9508,28–5,28,33,55.3,47.4,33.4,34.4,15.9,18.2,31.6,30.3,69.4,55.7,44.6,36.2,34.4,14.8,6.3,60.9,52.3,31.8,39.8,68.8,77.81124333196551,80.2785,2.179435887177436,2019,-0.274,-0.32894736800000013,55.68471999999999,,76.7,65.7,1.164,0.99,34.03933030303
Kentucky,116.9,91.7,0.9423,27–6,27,33,53.3,47,42.5,27.1,18.5,18.4,36.6,25.8,67.9,52.7,43.6,36.4,35,14.2,7.7,52.1,48.2,29.8,38.3,67.2,78.06034482758622,80.7955,0.5921552931759055,2019,0.3919999999999999,0.6710526319999999,95.37583999999998,,74,70.6,1.126,0.96,33.709760606061
Purdue,121,95.6,0.9376,23–9,23,32,52.7,49.5,29.4,32.7,15.9,19.5,35,26.6,66.4,51.2,47.9,36.4,34.4,13,11.4,53.9,55.2,44.5,43,67,78.26883664858349,81.6085,1.5651739304278296,2019,0.573,1.151315789,56.196799999999996,,73.2,73.3,1.139,0.999,35.320021875
Houston,114.1,90.9,0.9318,31–3,31,34,52.1,42.4,31.9,37.6,16.8,18.2,34.7,26.2,67.5,50.8,43.1,35.9,27.6,13.8,6.7,55.8,50.1,42.9,41.1,67.4,76.191783607891,78.92299999999999,1.802320928371349,2019,-0.05899999999999972,0.1513157890000001,36.791239999999995,,70.2,69.2,1.12,0.907,21.750414705882
Virginia Tech,118,94.3,0.9295,24–8,24,32,56.4,48.9,31.4,26.4,17.5,21.7,29.8,27.4,64.4,54.2,48,39.4,33.2,8.7,9.7,59.6,56.4,45,50.1,65,76.94643944004869,79.2265,1.910453727763342,2019,0.08200000000000007,0.4539473679999999,66.43579999999999,,75.8,72.2,1.141,0.958,30.711653125
