Gonzaga,120.9,88.5,0.9731,26–3,26,29,59.4,43.2,29.7,22.2,15.9,17,29,23,73.8,60.9,41.6,37.9,30.7,13.4,6.6,55,40.6,35.4,33.9,73.8,78.73668701326037,81.9585,1.5589999999999993,2022,-1.1540000000000004,-1.2894736839999998,86.97632,,73.1,69.5,1.19,0.885,24.9473
Houston,117.1,88.9,0.9596,29–5,29,34,53.6,43.5,28.7,35.1,17.1,21.7,37.8,27.3,65.5,55.1,43.5,34.1,29,17.3,6.4,59.5,55.4,39.1,42.9,65.1,77.41014402003756,80.47000000000001,2.1794717887154853,2022,0.43999999999999995,1.842105264,51.78963999999999,,66.9,70.5,1.147,0.89,22.668452941176
Baylor,117.5,90.7,0.9515,26–6,26,32,52.9,47.8,28.5,26.9,18.2,22.9,36.3,28.4,68.5,53.5,49.5,34.6,29.9,9.6,7.3,56.1,55.5,37.7,35.9,68.6,77.61661538461539,81.05849999999998,1.7805999999999993,2022,-1.528,-2.289473684,55.88883999999998,,69.8,70.1,1.112,0.925,35.463196875
Kansas,120.2,92.9,0.9509,28–6,28,34,54.1,46.9,32.8,27.8,17.8,18.4,33.4,28.9,69.5,54.5,47.9,35.5,30.1,10.5,7.8,53.9,47.5,33.8,34.2,70.1,77.14235391628677,80.111,2.081832733093238,2022,2.887,2.710526316,77.99788,,72.4,70.7,1.119,0.97,36.389561764706
Arizona,118,92.4,0.9433,31–3,31,34,55.9,44.4,35.1,22.8,18,17.7,34.5,28.3,72.9,57.5,41.9,35.4,32.7,13.4,7,65.4,46.8,35.7,34.5,73.4,79.44223107569721,83.02950000000001,1.190838167633527,2022,-0.22599999999999998,-1.2894736839999998,69.25967999999999,,73.8,67,1.155,0.922,24.924094117647
Texas Tech,109.1,85.5,0.9428,25–9,25,34,52.4,45.5,36.1,32.1,20.3,23.6,33.3,26.1,67.5,55.1,44.3,31.4,31.3,11.9,7.2,52.3,53.8,34.4,45.6,67.4,78.31430338004947,80.05299999999998,2.455782312925171,2022,-0.5710000000000002,0.1513157890000001,22.029600000000002,,69.9,68.3,1.051,0.884,35.784735294118
Duke,120.4,94.4,0.9426,28–6,28,34,55.6,47,28.6,18.9,14.9,16.1,31.9,28.5,68.3,55.8,46.9,36.8,31.4,13.1,8.1,56.6,51.8,36.6,33.8,68.7,78.37190941200915,81.8205,0.9878,2022,1.5459999999999998,1.6710526319999999,91.52067999999998,,72.9,67.2,1.169,0.979,28.362379411765
Kentucky,119.1,93.9,0.939,26–7,26,33,53.3,46.5,27.2,25.1,16.6,17.4,37.8,24.9,69.3,53.7,47.2,34.9,30.3,11,6.4,53,46.2,28.1,36,68.8,76.82796801312283,80.43799999999999,1.8557134280568346,2022,-2.031,-2.328947368,74.51516000000001,,73,71.5,1.142,0.948,32.448887878788
Tennessee,110.1,86.9,0.9383,26–7,26,33,50.3,46.2,29.6,31.6,18,22.9,32.8,27.4,68.7,48,45.8,35.8,31.2,13.2,7.8,62.3,51.3,40.7,39.4,68.3,76.74733169129719,81.0375,1.3619276144771044,2022,-1.4400000000000004,-0.8486842109999999,74.78068000000002,,71.2,70.6,1.058,0.907,34.054787878788
Villanova,117.1,93,0.934,26–7,26,33,52,47.5,30.5,25.1,15.5,18.8,30.9,28,64.2,50.3,48.2,35.9,31,7.1,10.9,49,50,46,43,63.6,77.34717134717135,79.31450000000001,2.391721655668866,2022,1.8049999999999997,1.6710526319999999,69.0712,,82.3,74.5,1.127,0.979,31.806048484849
