season,log_loss,accuracy,auc_roc,n_games
2003,0.3743651546001423,0.8359375,0.915283203125,64
2004,0.40920574444848046,0.8359375,0.891357421875,64
2005,0.3613626138573507,0.9140625,0.932373046875,64
2006,0.38383030976171956,0.7890625,0.91357421875,64
2007,0.3129732972439949,0.875,0.966064453125,64
2008,0.33076059061795376,0.875,0.941650390625,64
2009,0.36037659019853946,0.859375,0.933349609375,64
2010,0.42702363892584694,0.8203125,0.886474609375,64
2011,0.4716544714381996,0.7910447761194029,0.8618846068166629,67
2012,0.40682226738327015,0.8432835820895522,0.9075517932724437,67
2013,0.39195546741681536,0.8507462686567164,0.9133437291156159,67
2014,0.4566683639890122,0.746268656716418,0.8665627088438405,67
2015,0.39518338203525866,0.8805970149253731,0.916239697037202,67
2016,0.43114501677004924,0.8059701492537313,0.8843840498997548,67
2017,0.3769016641143439,0.8507462686567164,0.9244820672755624,67
2018,0.4391892230492421,0.7761194029850746,0.8812653152149699,67
2019,0.3572863076318762,0.8656716417910447,0.9287146357763422,67
2021,0.3750329123752615,0.8409090909090909,0.9203397612488522,66
2022,0.4373072354169287,0.8283582089552238,0.8799287146357764,67
2023,0.4445145174925643,0.746268656716418,0.8763644464245934,67
2024,0.41104911359461993,0.8283582089552238,0.900646023613277,67
